# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 25 20:07:02 2019
#
# User preference: *
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
#
pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,ra_str,ra,dec_str,dec,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_disc
,,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,7.50000,2.50000,-2.50000,0,2383.60000,794.50000,-794.50000,0,,,,,2010
,,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,4.00000,1.00000,-1.00000,0,1271.00000,318.00000,-318.00000,0,,,,,2004
416.00000000,2.00000000,-2.00000000,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,1.90000,0.10000,-0.10000,0,603.87700,31.78300,-31.78300,0,,,,,2015
7336.50000000,1934.50000000,-584.00000000,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,20.95000,83.79000,-20.95000,0,6657.48000,26629.91000,-6657.48000,0,10.310,4.370,-4.040,0,2009
,,,,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,12.50000,1.50000,-1.50000,0,3972.87500,476.74500,-476.74500,0,,,,,2016
335.10001000,2.50000000,-2.50000000,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,,,,,,,,,,,,0,2009
269.30000000,1.96000000,-1.96000000,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,,,,,,,,,,,,,2006
479.10000000,6.20000000,-6.20000000,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,,,,,,,,,,,,,2008
1078.00000000,2.00000000,-2.00000000,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,,,,,,,,,,,,,1996
2391.00000000,100.00000000,-87.00000000,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,,,,,,,,,,,,,2001
14002.00000000,4018.00000000,-5095.00000000,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,,,,,,,,,,,,,2009
,,,0,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,2.00000,,,0,635.66000,,,0,,,,,2015
4.23078500,0.00003600,-0.00003600,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,,,,,,,,,,,,,1995
14.65152000,0.00015000,-0.00015000,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,0.83060,0.00330,-0.00330,0,263.97850,1.04880,-1.04880,0,,,,,1996
44.41750000,0.00730000,-0.00730000,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,0.17140,0.00550,-0.00550,0,54.47380,1.74800,-1.74800,0,,,,,2004
4825.00000000,39.00000000,-39.00000000,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,3.87800,0.06800,-0.06800,0,1232.49300,21.61200,-21.61200,0,,,,,2002
0.73653900,0.00000700,-0.00000700,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,0.02542,0.00098,-0.00098,0,8.08000,0.31000,-0.31000,0,1.910,0.080,-0.080,0,2004
262.00000000,0.51000000,-0.51000000,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,0.14100,0.01200,-0.01200,0,44.81200,3.81400,-3.81400,0,,,,,2007
934.30000000,8.60000000,-8.60000000,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,,,,0,,,,0,,,,,2008
4.21500000,0.00060000,-0.00060000,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,,,,,,,,,,,,,2009
38.02100000,0.03400000,-0.03400000,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,,,,,,,,,,,,,2009
123.01000000,0.55000000,-0.55000000,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,,,,,,,,,,,,,2009
796.00000000,7.40000000,-7.40000000,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,,,,,,,,,,,,,2011
116.68800000,0.00540000,-0.00540000,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,,,,0,,,,0,,,,,1996
691.90000000,3.60000000,-3.60000000,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,,,,,,,,,,,,,2012
93.40000000,4.50000000,-4.50000000,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,,,,,,,,,,,,0,2015
952.70000000,8.80000000,-8.80000000,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,,,,,,,,,,,,,2008
181.40000000,0.10000000,-0.10000000,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,,,,,,,,,,,,,2013
,,,,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,13.50000,0.50000,-0.50000,0,4290.50000,158.90000,-158.90000,0,,,,,2005
481.90000000,2.70000000,-2.80000000,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,,,,,,,,,,,,,2017
268.94000000,0.99000000,-0.99000000,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,,,,,,,,,,,,0,2009
153.22000000,0.44000000,-0.44000000,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,,,,,,,,,,,,,2016
137.48000000,0.34000000,-0.34000000,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,,,,,,,,,,,,,2013
379.63000000,2.00000000,-2.00000000,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,,,,,,,,,,,0,2009
621.99000000,10.20000000,-10.20000000,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,,,,,,,,,,,,2009
578.20000000,5.40000000,-5.40000000,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,,,,,,,,,,,,2012
41.68550000,0.00300000,-0.00300000,0,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,0.07000,0.03000,-0.03000,0,22.24810,9.53490,-9.53490,0,2.578,0.112,-0.112,0,2016
392.60000000,5.50000000,-5.50000000,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,,,,,,,,,,,,,2011
733.00000000,5.00000000,-8.00000000,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,,,,0,,,,0,,,,0,2018
2590.00000000,300.00000000,-180.00000000,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,,,,,,,,,,,,2015
3.87280000,0.00040000,-0.00040000,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,,,,,,,,,,,,,2013
125.94000000,0.44000000,-0.44000000,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,,,,,,,,,,,,,2013
5.60000000,0.02000000,-0.02000000,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,,,,,,,,,,,,0,2009
237.60000000,1.50000000,-1.50000000,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,,,,,,,,,,,,,2009
3.48777000,0.00011000,-0.00011000,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,,,,,,,,,,,,0,2000
1667.00000000,33.00000000,-31.00000000,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,,,,,,,,,,,,,2014
714.29999000,5.30000000,-5.30000000,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,,,,,,,,,,,,0,2007
655.59998000,0.60000000,-0.60000000,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,,,,,,,,,,,,0,2008
10037.50000000,2737.50000000,-2737.50000000,0,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,10.50000,4.50000,-4.50000,0,3337.10000,1430.20000,-1430.20000,0,,,,,2011
,,,,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,12.56900,8.37900,-5.23700,0,3994.48600,2662.99100,-1664.36900,0,,,,,2006
,,,,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,17.00000,6.00000,-6.00000,0,5403.00000,1907.00000,-1907.00000,0,24.660,9.080,-6.730,0,2007
1.50895570,0.00000640,-0.00000640,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,1.03000,0.12000,-0.12000,0,327.35000,38.14000,-38.14000,0,16.700,0.900,-0.900,0,2008
13.24060000,0.00020000,-0.00020000,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,2.75000,0.16000,-0.16000,0,874.00000,50.85000,-50.85000,0,10.870,0.780,-0.780,0,2010
2.99433000,0.00001100,-0.00001100,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,2.33000,0.34000,-0.34000,0,740.51000,108.06000,-108.06000,0,16.030,0.340,-0.340,0,2010
2.82804200,0.00001300,-0.00001300,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,0.91700,0.07000,-0.06500,0,291.43800,22.24700,-20.65800,0,16.140,1.460,-1.460,0,2010
4.03519000,0.00003000,-0.00003000,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1.30800,0.06600,-0.06600,0,415.70400,20.97600,-20.97600,0,9.920,0.157,-0.157,0,2010
1.51214000,0.00013000,-0.00013000,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,7.60000,0.60000,-0.60000,0,2415.40000,190.70000,-190.70000,0,12.220,0.780,-0.780,0,2010
5.35227000,0.00020000,-0.00020000,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,0.53500,0.08500,-0.08300,0,170.03200,27.01400,-26.37900,0,13.110,1.790,-1.570,0,2011
3.76810000,0.00030000,-0.00030000,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,2.43000,0.30000,-0.30000,0,772.29000,95.34000,-95.34000,0,11.430,0.780,-0.780,0,2011
1.90006930,0.00000280,-0.00000280,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,3.47000,0.38000,-0.38000,0,1102.82000,120.77000,-120.77000,0,14.680,2.020,-2.020,0,2011
3.89713000,0.00002000,-0.00002000,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,1.11000,0.06000,-0.06000,0,352.78000,19.07000,-19.07000,0,14.460,0.340,-0.340,0,2011
1.74299350,0.00000100,-0.00000100,0,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,3.47000,0.22000,-0.22000,0,1102.82000,69.92000,-69.92000,0,16.432,0.471,-0.493,0,2008
9.24285000,0.00030000,-0.00030000,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,4.30000,0.20000,-0.20000,0,1366.66900,63.56600,-63.56600,0,,,,0,2011
1675.00000000,19.00000000,-17.00000000,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,,,,0,,,,0,,,,0,2018
2.72474000,0.00014000,-0.00014000,0,06h44m12.588s,101.052450,-00d17m56.868s,-0.299130,2.26000,0.31000,-0.31000,0,718.29580,98.52730,-98.52730,0,14.572,1.569,-1.569,0,2012
9.75598000,0.00011000,-0.00011000,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,0.03800,0.04400,-0.02800,0,12.20000,14.00000,-8.80000,0,4.880,0.170,-0.390,0,2014
3.63130000,0.00010000,-0.00010000,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,2.80000,0.30000,-0.30000,0,889.90000,95.30000,-95.30000,0,11.770,1.460,-1.460,0,2011
5.11340000,0.00060000,-0.00060000,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,0.01800,,,1,5.70000,,,1,3.700,0.400,-0.400,0,2014
11.75900000,0.00630000,-0.00630000,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,0.08800,0.03500,-0.03500,0,28.00000,11.00000,-11.00000,0,5.000,0.500,-0.500,0,2014
4.86069000,0.00006000,-0.00006000,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,0.27000,0.04000,-0.04000,0,85.81000,12.71000,-12.71000,0,12.110,3.400,-1.120,0,2013
4.20474000,0.00005000,-0.00005000,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,0.52000,0.05000,-0.05000,0,165.26000,15.89000,-15.89000,0,14.120,1.460,-0.780,0,2013
3.57532000,0.00006000,-0.00006000,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,10.39000,0.55000,-0.55000,0,3302.11000,174.80000,-174.80000,0,11.287,0.493,-0.493,0,2014
5.20851000,0.00038000,-0.00038000,0,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,0.48400,0.08700,-0.08700,0,153.82972,27.65121,-27.65121,0,10.705,0.740,-0.740,0,2015
2.85057000,0.00000600,-0.00000600,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,0.85000,0.20000,-0.20000,0,270.15550,63.56600,-63.56600,0,10.088,1.793,-1.793,0,2015
4.25680000,0.00000500,-0.00000500,0,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,21.66000,1.00000,-1.00000,0,6883.91000,317.80000,-317.80000,0,11.320,0.780,-0.780,0,2008
9.20205000,0.00037000,-0.00037000,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,0.72000,0.08000,-0.08000,0,228.83000,25.43000,-25.43000,0,13.340,0.670,-0.560,0,2008
4.03789620,0.00000190,-0.00000190,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,0.46700,0.04700,-0.02400,0,148.42000,14.93700,-7.62800,0,15.558,0.516,-0.527,0,2009
8.88659300,0.00000400,-0.00000400,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,2.96000,0.34000,-0.34000,0,940.74000,108.06000,-108.06000,0,13.068,0.392,-0.392,0,2009
0.85359163,0.00000001,-0.00000001,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,0.01000,0.00000,0.00000,0,3.17830,0.00000,0.00000,0,1.681,0.112,-0.112,0,2009
3.69800000,0.00300000,-0.00300000,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,0.02643,0.00283,-0.00283,0,8.40000,0.90000,-0.90000,0,,,,,2009
6.21229000,0.00003000,-0.00003000,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,0.22000,0.03000,-0.03000,0,69.92000,9.53000,-9.53000,0,6.390,0.220,-0.220,0,2010
95.27265600,0.00006800,-0.00006800,0,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,0.84000,0.05000,-0.05000,0,266.97720,15.89150,-15.89150,0,11.949,0.841,-0.706,0,2009
6.71837000,0.00001000,-0.00001000,0,06h40m46.84s,100.195183,+09d15m26.8s,9.257431,0.15000,0.10000,-0.10000,0,47.67450,31.78300,-31.78300,0,6.389,0.673,-0.560,0,2017
246.36000000,1.38000000,-1.35000000,0,08h23m03.13s,125.763050,-49d12m01.3s,-49.200359,28.50000,1.90000,-1.90000,0,9057.77000,603.85000,-603.85000,0,,,,,2013
,,,,04h29m41.56s,67.423158,+26d32m58.3s,26.549520,11.00000,10.00000,-3.00000,0,3496.00000,3178.00000,-953.00000,0,,,,,2004
10220.00000000,730.00000000,-730.00000000,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,,,,,,,,,2009
21.16986100,0.00172500,-0.00169500,0,08h41m38.49s,130.410370,+17d38m24.0s,17.640005,,,,0,,,,0,1.980,0.110,-0.110,0,2016
19.49221000,0.00066600,-0.00065300,0,09h06m17.75s,136.573975,+19d24m08.1s,19.402252,,,,0,,,,0,5.760,0.300,-0.300,0,2018
0.57133100,0.00002000,-0.00002100,0,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,,,,0,,,,0,1.820,0.100,-0.100,0,2016
13.33907900,0.00194000,-0.00185900,0,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,,,,0,,,,0,2.730,0.180,-0.180,0,2016
6.18023500,0.00001400,-0.00001400,0,05h15m40.74s,78.919746,+16d16m43.5s,16.278742,3.00000,1.10000,-1.20000,0,953.49000,349.61300,-381.39600,0,11.781,0.493,-0.493,0,2018
,,,,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,16.00000,,,0,5085.28000,,,0,,,,,2008
555530.00000000,184690.00000000,-353320.00000000,0,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,,,,,,,,,,,,,2008
1.62893100,0.00002700,-0.00002700,0,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,0.00522,0.00072,-0.00072,0,1.66000,0.23000,-0.23000,0,,,,0,2015
8.92900000,0.01000000,-0.01000000,0,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,,,,0,,,,0,,,,0,2018
41.38000000,0.00200000,-0.00100000,0,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,,,,0,,,,0,,,,0,2010
532.58000000,4.14000000,-2.52000000,0,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,,,,0,,,,0,,,,0,2017
1.58040456,0.00000016,-0.00000016,0,17h15m18.92s,258.828837,+04d57m50.1s,4.963920,0.01970,0.00270,-0.00270,0,6.26125,0.85814,-0.85814,0,2.847,0.202,-0.202,0,2009
3.65110000,0.00120000,-0.00120000,0,22h13m42.88s,333.428676,-17d41m08.8s,-17.685771,,,,0,,,,0,,,,0,2018
35.58900000,0.00600000,-0.00500000,0,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,0.09637,0.00827,-0.00840,0,30.63000,2.63000,-2.67000,0,,,,0,2019
8.63182000,0.00155000,-0.00155000,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,,,,,,,,,,,,,2013
25.63058000,0.02550000,-0.02550000,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,,,,,,,,,,,,,2013
603.95116000,7.55862000,-7.55862000,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,,,,,,,,,,,,,2013
2288.00000000,59.00000000,-59.00000000,0,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,,,,,,,,,,,,,2009
18.64980000,0.00590000,-0.00520000,0,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,,,,,,,,,,,,,2017
4.72340000,0.00040000,-0.00040000,0,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,,,,,,,,,,,,,2017
133.71000000,0.20000000,-0.20000000,0,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,,,,,,,,,,,,,2000
1.22003000,0.00006000,-0.00004000,0,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,,,,,,,,,,,,,2017
5.97400000,0.00100000,-0.00100000,0,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,,,,,,,,,,,,,2017
257.80000000,3.60000000,-3.50000000,0,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,,,,,,,,,,,,,2017
692.00000000,2.00000000,-2.00000000,0,08h40m59.22s,130.246730,-23d27m22.6s,-23.456289,2.50000,0.70000,-0.40000,0,794.50000,222.50000,-127.10000,0,,,,,2007
5312.00000000,758.00000000,-1248.00000000,0,08h40m59.22s,130.246730,-23d27m22.6s,-23.456289,,,,0,,,,0,,,,0,2018
4100.00000000,300.00000000,-300.00000000,0,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,,,,,,,,,,,,,2013
30.59870000,0.00830000,-0.00840000,0,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,,,,,,,,,,,,,2015
122.61960000,0.24290000,-0.23710000,0,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,,,,,,,,,,,,,2015
48.13450000,0.06280000,-0.06610000,0,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,,,,,,,,,,,,,2017
13.25430000,0.00780000,-0.01040000,0,04h28m35.72s,67.148820,-25d10m09.5s,-25.169301,,,,,,,,,,,,,2017
5.36360000,0.00070000,-0.00070000,0,05h01m57.43s,75.489280,-06d56m46.5s,-6.946263,,,,,,,,,,,,,2017
40.54000000,0.21000000,-0.19000000,0,05h01m57.43s,75.489280,-06d56m46.5s,-6.946263,,,,,,,,,,,,,2017
14.20700000,0.00700000,-0.00700000,0,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,,,,,,,,,,,,,2015
3.33664960,0.00000390,-0.00000330,0,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,0.04373,0.00472,-0.00472,0,13.90000,1.50000,-1.50000,0,4.570,0.180,-0.180,0,2012
2.64561000,0.00066000,-0.00066000,0,10h58m35.10s,164.646242,-31d08m38.4s,-31.143989,0.02600,0.01300,-0.00500,0,8.40000,4.00000,-1.50000,0,,,,,2010
3.02320000,0.00130000,-0.00130000,0,13h22m56.74s,200.736403,+24d28m03.5s,24.467626,,,,0,,,,0,,,,0,2018
6.90500000,0.04000000,-0.04000000,0,16h09m03.14s,242.263092,+52d56m37.9s,52.943874,,,,0,,,,0,,,,0,2017
2.64977000,0.00081000,-0.00077000,0,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,,,,,,,,,,,,,2016
13.74000000,0.01600000,-0.01600000,0,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,,,,,,,,,,,,,2016
13.35200000,0.00300000,-0.00300000,0,22h25m17.05s,336.321023,+59d24m49.8s,59.413835,,,,0,,,,0,,,,0,2019
7.37090000,0.00080000,-0.00080000,0,11h35m26.95s,173.862289,-32d32m23.9s,-32.539970,,,,,,,,,,,,0,2011
2.64388312,0.00000057,-0.00000057,0,11h42m11.09s,175.546219,+26d42m23.7s,26.706570,0.07000,0.00700,-0.00700,0,22.10000,2.30000,-2.30000,0,4.170,0.168,-0.168,0,2004
,,,,13h16m46.52s,199.193817,+09d25m27.0s,9.424156,4.00000,4.50000,-1.00000,0,1271.30000,1430.20000,-317.80000,0,,,,,2013
8.70760000,0.00220000,-0.00250000,0,14h01m03.19s,210.263290,-02d39m17.5s,-2.654864,,,,,,,,,,,,,2016
5.36860000,0.00010000,-0.00010000,0,15h19m26.82s,229.861771,-07d43m20.2s,-7.722280,,,,,,,,,,,,,2005
12.91400000,0.00200000,-0.00200000,0,15h19m26.82s,229.861771,-07d43m20.2s,-7.722280,,,,,,,,,,,,,2007
3.14900000,0.00020000,-0.00020000,0,15h19m26.82s,229.861771,-07d43m20.2s,-7.722280,,,,,,,,,,,,,2009
14.62800000,0.01200000,-0.01300000,0,16h25m24.62s,246.352600,+54d18m14.8s,54.304104,,,,0,,,,0,,,,0,2017
598.30000000,4.20000000,-4.20000000,0,16h58m08.85s,254.536880,+25d44m39.0s,25.744160,,,,,,,,,,,,,2009
7.20040000,0.00170000,-0.00170000,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,,,,,,,,,,,,,2011
28.14000000,0.05300000,-0.06500000,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,,,,,,,,,,,,,2011
62.24000000,0.55000000,-0.55000000,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,,,,,,,,,,,,,2013
39.02600000,0.19400000,-0.21100000,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,,,,,,,,,,,,,2013
256.20000000,13.80000000,-7.90000000,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,,,,,,,,,,,,,2013
4.69380000,0.00700000,-0.00700000,0,17h28m39.95s,262.166443,-46d53m42.7s,-46.895191,,,,,,,,,,,,,2007
1056.80005000,2.80000000,-2.80000000,0,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,,,,,,,,,,,,0,2010
7337.00000000,95.00000000,-92.00000000,0,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,,,,,,,,,,,,,2016
