# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 10 21:44:44 2019
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
#
pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_disc
4 UMa b,Radial Velocity,1,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,73.58,1.18,-1.18,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,2006
42 Dra b,Radial Velocity,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,90.86,1.32,-1.32,0,0.98,0.05,-0.05,0,22.03,1.00,-1.00,0,2008
47 UMa b,Radial Velocity,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,13.80,0.03,-0.03,0,1.03,0.05,-0.05,0,1.23,,,0,1996
47 UMa c,Radial Velocity,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,13.80,0.03,-0.03,0,1.03,0.05,-0.05,0,1.23,,,0,2001
47 UMa d,Radial Velocity,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,13.80,0.03,-0.03,0,1.03,0.05,-0.05,0,1.23,,,0,2009
51 Eri b,Imaging,1,,,,0,13.200000,0.200000,-0.200000,0,,,,,,,,,29.40,0.30,-0.30,0,1.75,0.05,-0.05,0,,,,,2015
51 Peg b,Radial Velocity,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,15.47,0.03,-0.03,0,1.12,0.06,-0.06,0,1.20,,,0,1995
55 Cnc b,Radial Velocity,5,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,,,,,12.59,0.01,-0.01,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,1996
55 Cnc c,Radial Velocity,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,,,,,12.59,0.01,-0.01,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2004
55 Cnc d,Radial Velocity,5,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,,,,,12.59,0.01,-0.01,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2002
55 Cnc e,Radial Velocity,5,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,0,0.170,0.007,-0.007,0,12.59,0.01,-0.01,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2004
55 Cnc f,Radial Velocity,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,,,,,12.59,0.01,-0.01,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2007
6 Lyn b,Radial Velocity,1,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,,,,,54.74,0.27,-0.27,0,1.44,,,0,5.20,,,0,2008
61 Vir b,Radial Velocity,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,8.51,0.02,-0.02,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2009
61 Vir c,Radial Velocity,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,8.51,0.02,-0.02,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2009
61 Vir d,Radial Velocity,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,8.51,0.02,-0.02,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2009
7 CMa b,Radial Velocity,1,796.00000000,7.40000000,-7.40000000,0,1.930000,0.010000,-0.010000,0,0.220000,0.070000,-0.070000,0,,,,,19.82,0.16,-0.16,0,1.52,0.30,-0.30,0,2.30,0.10,-0.10,0,2011
70 Vir b,Radial Velocity,1,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,,,,,17.91,0.06,-0.06,0,1.09,,,0,1.89,,,0,1996
75 Cet b,Radial Velocity,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,,,,,83.15,0.72,-0.72,0,2.49,0.02,-0.27,0,10.50,1.00,-1.00,0,2012
8 UMi b,Radial Velocity,1,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,,,,0,159.10,11.00,-11.00,0,1.44,0.19,-0.19,0,10.30,0.57,-0.57,0,2015
81 Cet b,Radial Velocity,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,101.53,1.22,-1.22,0,2.40,0.10,-0.40,0,11.00,2.00,-1.00,0,2008
91 Aqr b,Radial Velocity,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,44.08,0.51,-0.51,0,1.40,0.10,-0.10,0,11.00,0.10,-0.10,0,2013
AB Pic b,Imaging,1,,,,,260.000000,,,0,,,,,,,,,50.12,0.07,-0.07,0,,,,,,,,,2005
BD+03 2562 b,Radial Velocity,1,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,,,,,2618.00,564.00,-564.00,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,2017
BD+14 4559 b,Radial Velocity,1,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,,,,0,49.42,0.08,-0.08,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,2009
BD+15 2375 b,Radial Velocity,1,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,,,,,774.00,165.00,-165.00,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,2016
BD+15 2940 b,Radial Velocity,1,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,,,,,431.61,6.55,-6.55,0,1.10,0.20,-0.20,0,14.70,2.80,-2.80,0,2013
BD+20 2457 b,Radial Velocity,2,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,0.150000,0.030000,-0.030000,0,,,,0,200.00,,-168.25,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,2009
BD+20 2457 c,Radial Velocity,2,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,,,,,200.00,,-168.25,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,2009
BD+20 274 b,Radial Velocity,1,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,0.210000,0.060000,-0.060000,0,,,,,1383.85,86.64,-86.64,0,0.80,0.20,-0.20,0,17.30,0.90,-0.90,0,2012
BD+20 594 b,Transit,1,41.68550000,0.00300000,-0.00300000,0,,,,0,0.000000,,,0,0.230,0.010,-0.010,0,180.39,1.25,-1.25,0,1.67,0.40,-0.40,0,1.08,0.06,-0.06,0,2016
BD+48 738 b,Radial Velocity,1,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,0.200000,0.100000,-0.100000,0,,,,,892.17,44.78,-44.78,0,0.74,0.39,-0.39,0,11.00,1.00,-1.00,0,2011
BD+48 740 b,Radial Velocity,1,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,0.760000,0.050000,-0.090000,0,,,,0,678.94,22.15,-22.15,0,1.09,0.16,-0.16,0,10.33,1.81,-1.81,0,2018
BD+49 828 b,Radial Velocity,1,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,,,,,447.59,7.79,-7.79,0,1.52,0.22,-0.22,0,7.60,1.30,-1.30,0,2015
BD-06 1339 b,Radial Velocity,2,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,,,,,20.28,0.02,-0.02,0,0.70,,,0,,,,,2013
BD-06 1339 c,Radial Velocity,2,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,,,,,20.28,0.02,-0.02,0,0.70,,,0,,,,,2013
BD-08 2823 b,Radial Velocity,2,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,0.150000,0.150000,-0.150000,0,,,,0,41.38,0.07,-0.07,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,2009
BD-08 2823 c,Radial Velocity,2,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,,,,,41.38,0.07,-0.07,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,2009
BD-10 3166 b,Radial Velocity,1,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,0.020000,0.020000,-0.020000,0,,,,0,80.00,10.00,-10.00,0,1.47,0.24,-0.24,0,0.91,0.04,-0.04,0,2000
BD-11 4672 b,Radial Velocity,1,1667.00000000,33.00000000,-31.00000000,0,2.280000,0.070000,-0.070000,0,0.050000,0.060000,-0.040000,0,,,,,27.30,,,0,0.57,0.01,-0.01,0,0.52,0.02,-0.02,0,2014
BD-13 2130 b,Radial Velocity,1,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,0.210000,0.070000,-0.070000,0,,,,0,766.00,,,0,2.12,1.47,-1.47,0,19.17,4.96,-4.96,0,2007
BD-17 63 b,Radial Velocity,1,655.59998000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,0.540000,0.000000,0.000000,0,,,,0,34.49,0.09,-0.09,0,0.31,0.19,-0.19,0,0.74,0.04,-0.04,0,2008
CFBDSIR J145829+101343 b,Imaging,1,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,,,,,,,,,23.10,2.40,-2.40,0,0.02,0.01,-0.01,0,,,,,2011
CHXR 73 b,Imaging,1,,,,,210.000000,,,0,,,,,,,,,191.05,6.42,-6.42,0,0.35,,,0,,,,,2006
CT Cha b,Imaging,1,,,,,440.000000,,,0,,,,,2.200,0.810,-0.600,0,165.00,30.00,-30.00,0,,,,,,,,,2007
CoRoT-1 b,Transit,1,1.50895570,0.00000640,-0.00000640,0,,,,,0.000000,,,0,1.490,0.080,-0.080,0,805.31,24.33,-24.33,0,0.95,0.15,-0.15,0,1.11,0.05,-0.05,0,2008
CoRoT-10 b,Transit,1,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,0.530000,0.040000,-0.040000,0,0.970,0.070,-0.070,0,345.00,70.00,-70.00,0,0.89,0.05,-0.05,0,0.79,0.05,-0.05,0,2010
CoRoT-11 b,Transit,1,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,0.000000,,,0,1.430,0.030,-0.030,0,560.00,30.00,-30.00,0,1.27,0.05,-0.05,0,1.37,0.03,-0.03,0,2010
CoRoT-12 b,Transit,1,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,0.070000,0.063000,-0.042000,0,1.440,0.130,-0.130,0,1150.00,85.00,-85.00,0,1.08,0.08,-0.07,0,1.12,0.10,-0.09,0,2010
CoRoT-13 b,Transit,1,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,0.000000,,,0,0.885,0.014,-0.014,0,1060.00,100.00,-100.00,0,1.09,0.02,-0.02,0,1.01,0.03,-0.03,0,2010
CoRoT-14 b,Transit,1,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,0.000000,,,0,1.090,0.070,-0.070,0,1340.00,110.00,-110.00,0,1.13,0.09,-0.09,0,1.21,0.08,-0.08,0,2010
CoRoT-16 b,Transit,1,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,0.330000,0.090000,-0.100000,0,1.170,0.160,-0.140,0,840.00,90.00,-90.00,0,1.10,0.08,-0.08,0,1.19,0.14,-0.13,0,2011
CoRoT-17 b,Transit,1,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,0.000000,,,0,1.020,0.070,-0.070,0,920.00,50.00,-50.00,0,1.04,0.10,-0.10,0,1.59,0.07,-0.07,0,2011
CoRoT-18 b,Transit,1,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,0.080000,,,1,1.310,0.180,-0.180,0,870.00,90.00,-90.00,0,0.95,0.15,-0.15,0,1.00,0.13,-0.13,0,2011
CoRoT-19 b,Transit,1,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,0.047000,0.045000,-0.045000,0,1.290,0.030,-0.030,0,770.00,160.00,-160.00,0,1.21,0.05,-0.05,0,1.65,0.04,-0.04,0,2011
CoRoT-2 b,Transit,1,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,1.466,0.042,-0.044,0,200.00,,,0,0.96,0.08,-0.08,0,0.91,0.03,-0.03,0,2008
CoRoT-20 b,Transit,2,9.24285000,0.00030000,-0.00030000,0,0.090000,0.002000,-0.002000,0,0.590000,0.020000,-0.020000,0,,,,0,864.31,24.46,-24.46,0,1.14,0.08,-0.08,0,,,,0,2011
CoRoT-20 c,Radial Velocity,2,1675.00000000,19.00000000,-17.00000000,0,2.900000,0.070000,-0.070000,0,0.600000,0.030000,-0.030000,0,,,,0,864.31,24.46,-24.46,0,1.14,0.08,-0.08,0,,,,0,2018
CoRoT-21 b,Transit,1,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,0.000000,,,0,1.300,0.140,-0.140,0,1398.83,286.45,-286.45,0,1.29,0.09,-0.09,0,1.95,0.21,-0.21,0,2012
CoRoT-22 b,Transit,1,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,0.077000,0.300000,-0.042000,0,0.435,0.015,-0.035,0,592.00,25.00,-42.00,0,1.10,0.05,-0.05,0,1.14,0.04,-0.09,0,2014
CoRoT-23 b,Transit,1,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,0.160000,0.020000,-0.020000,0,1.050,0.130,-0.130,0,600.00,50.00,-50.00,0,1.14,0.08,-0.08,0,1.61,0.18,-0.18,0,2011
CoRoT-24 b,Transit,2,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,0.000000,,,0,0.330,0.040,-0.040,0,600.00,70.00,-70.00,0,0.91,0.09,-0.09,0,0.86,0.09,-0.09,0,2014
CoRoT-24 c,Transit,2,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,0.000000,,,0,0.440,0.040,-0.040,0,600.00,70.00,-70.00,0,0.91,0.09,-0.09,0,0.86,0.09,-0.09,0,2014
CoRoT-25 b,Transit,1,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,0.000000,,,0,1.080,0.300,-0.100,0,1000.00,85.00,-25.00,0,1.09,0.11,-0.05,0,1.19,0.14,-0.03,0,2013
CoRoT-26 b,Transit,1,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,0.000000,,,0,1.260,0.130,-0.070,0,1670.00,205.00,-110.00,0,1.09,0.06,-0.06,0,1.79,0.18,-0.09,0,2013
CoRoT-27 b,Transit,1,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,0.065000,,,1,1.007,0.044,-0.044,0,1035.15,66.44,-66.44,0,1.05,0.11,-0.11,0,1.08,0.18,-0.06,0,2014
CoRoT-28 b,Transit,1,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,0.047000,0.055000,-0.038000,0,0.955,0.066,-0.066,0,560.00,70.00,-70.00,0,1.01,0.14,-0.14,0,1.78,0.11,-0.11,0,2015
CoRoT-29 b,Transit,1,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,0.082000,0.081000,-0.081000,0,0.900,0.160,-0.160,0,765.00,50.00,-50.00,0,0.97,0.14,-0.14,0,0.90,0.12,-0.12,0,2015
CoRoT-3 b,Transit,1,4.25680000,0.00000500,-0.00000500,0,,,,,0.000000,,,0,1.010,0.070,-0.070,0,680.00,160.00,-160.00,0,1.37,0.09,-0.09,0,1.56,0.09,-0.09,0,2008
CoRoT-4 b,Transit,1,9.20205000,0.00037000,-0.00037000,0,0.090000,0.001000,-0.001000,0,0.000000,0.100000,-0.100000,0,1.190,0.060,-0.050,0,741.60,15.39,-15.39,0,1.16,0.03,-0.02,0,1.17,0.01,-0.03,0,2008
CoRoT-5 b,Transit,1,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,0.090000,0.090000,-0.040000,0,1.388,0.046,-0.047,0,904.65,26.70,-26.70,0,1.00,0.02,-0.02,0,1.19,0.04,-0.04,0,2009
CoRoT-6 b,Transit,1,8.88659300,0.00000400,-0.00000400,0,0.085500,0.001500,-0.001500,0,0.100000,,,1,1.166,0.035,-0.035,0,657.24,12.58,-12.58,0,1.05,0.05,-0.05,0,1.02,0.03,-0.03,0,2009
CoRoT-7 b,Transit,2,0.85359163,0.00000001,-0.00000001,0,,,,0,0.000000,,,0,0.150,0.010,-0.010,0,153.70,4.50,-4.50,0,0.82,0.17,-0.17,0,0.83,0.04,-0.04,0,2009
CoRoT-7 c,Radial Velocity,2,3.69800000,0.00300000,-0.00300000,0,0.046000,,,0,0.000000,,,0,,,,,153.70,4.50,-4.50,0,0.82,0.17,-0.17,0,0.83,0.04,-0.04,0,2009
CoRoT-8 b,Transit,1,6.21229000,0.00003000,-0.00003000,0,0.063000,0.001000,-0.001000,0,0.000000,,,0,0.570,0.020,-0.020,0,380.00,30.00,-30.00,0,0.88,0.04,-0.04,0,0.77,0.02,-0.02,0,2010
CoRoT-9 b,Transit,1,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,0.133000,0.042000,-0.037000,0,1.066,0.075,-0.063,0,460.00,,,0,0.96,0.04,-0.04,0,0.96,0.06,-0.06,0,2009
CoRoTID 223977153 b,Transit,1,6.71837000,0.00001000,-0.00001000,0,0.071000,0.001000,-0.001000,0,,,,0,0.570,0.060,-0.050,0,586.20,10.70,-10.70,0,1.08,0.08,-0.07,0,0.79,0.08,-0.09,0,2017
